0	0.045921739
145.38516	0.025609041
290.77032	0.0052963419
436.15547	-0.015016357
581.54063	-0.049646451
726.92579	-0.095805319
872.31095	-0.14196419
1017.6961	-0.20950293
1163.0813	-0.45413427
1308.4664	-0.69876561
1453.8516	-0.94339695
1599.2367	-1.2283998
1744.6219	-1.5329008
1890.0071	-1.8374018
2035.3922	-2.1965769
2180.7774	-2.742582
2326.1625	-3.2885871
2471.5477	-3.8345922
2616.9328	-4.5834729
2762.318	-5.3906223
2907.7032	-6.1977718
3053.0883	-7.1167018
3198.4735	-8.2528631
3343.8586	-9.3890243
3489.2438	-10.525186
3634.6289	-11.47364
3780.0141	-12.413676
3925.3993	-13.353711
4070.7844	-14.050137
4216.1696	-14.507707
4361.5547	-14.965277
4506.9399	-15.42627
4652.325	-15.932651
4797.7102	-16.439032
4943.0954	-16.945413
5088.4805	-17.416222
5233.8657	-17.870092
5379.2508	-18.323961
5524.636	-18.708237
5670.0212	-18.875266
5815.4063	-19.042294
5960.7915	-19.209322
6106.1766	-19.034168
6251.5618	-18.799628
6396.9469	-18.565088
6542.3321	-18.375962
6687.7173	-18.261089
6833.1024	-18.146216
6978.4876	-18.031343
7123.8727	-17.875013
7269.2579	-17.706924
7414.643	-17.538835
7560.0282	-17.378998
7705.4134	-17.235601
7850.7985	-17.092203
7996.1837	-16.948806
8141.5688	-16.807018
8286.954	-16.665375
8432.3392	-16.523732
8577.7243	-16.299769
8723.1095	-15.978552
8868.4946	-15.657335
9013.8798	-15.334054
9159.2649	-14.983799
9304.6501	-14.633544
9450.0353	-14.283289
9595.4204	-13.797578
9740.8056	-13.24074
9886.1907	-12.683903
10031.576	-12.208758
10176.961	-12.010879
10322.346	-11.813
10467.731	-11.615121
10613.117	-11.286858
10758.502	-10.916222
10903.887	-10.545587
11049.272	-9.9891905
11194.657	-9.180616
11340.042	-8.3720414
11485.427	-7.5634669
11630.813	-7.0352496
11776.198	-6.5158543
11921.583	-5.996459
12066.968	-5.6066876
12212.353	-5.3332552
12357.738	-5.0598229
12503.124	-4.7866973
12648.509	-4.5169639
12793.894	-4.2472305
12939.279	-3.9774971
13084.664	-3.694085
13230.049	-3.4029377
13375.435	-3.1117904
13520.82	-2.8028901
13666.205	-2.4410839
13811.59	-2.0792778
13956.975	-1.7174716
14102.36	-1.3483047
14247.745	-0.97754192
14393.131	-0.60677917
14538.516	-0.38307237
